,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
65,2022-07,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1479.14855,million MMBtu
66,2022-07,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3656.57988,million MMBtu
67,2022-07,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.45142,million MMBtu
68,2022-07,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.77012,million MMBtu
69,2022-07,US,U.S. Total,96,All Commercial,ALL,all fuels,18.73042,million MMBtu
70,2022-06,US,U.S. Total,1,Electric Utility,ALL,all fuels,1940.63237,million MMBtu
71,2022-06,US,U.S. Total,97,All Industrial,ALL,all fuels,233.77889,million MMBtu
72,2022-06,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3290.51026,million MMBtu
73,2022-06,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1458.97192,million MMBtu
74,2022-06,US,U.S. Total,98,Electric Power,ALL,all fuels,3399.60429,million MMBtu
75,2022-06,US,U.S. Total,5,Commercial CHP,ALL,all fuels,12.22536,million MMBtu
76,2022-06,US,U.S. Total,96,All Commercial,ALL,all fuels,17.52252,million MMBtu
77,2022-06,US,U.S. Total,99,All Sectors,ALL,all fuels,3650.9057,million MMBtu
78,2022-06,US,U.S. Total,7,Industrial CHP,ALL,all fuels,228.05562,million MMBtu
79,2022-06,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.60824,million MMBtu
80,2022-06,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.72327,million MMBtu
81,2022-06,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1349.87789,million MMBtu
82,2022-06,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.29716,million MMBtu
83,2022-06,US,U.S. Total,3,IPP CHP,ALL,all fuels,109.09402,million MMBtu
84,2022-05,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.76311,million MMBtu
85,2022-05,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1392.6786,million MMBtu
86,2022-05,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2953.24169,million MMBtu
87,2022-05,US,U.S. Total,99,All Sectors,ALL,all fuels,3312.89278,million MMBtu
88,2022-05,US,U.S. Total,7,Industrial CHP,ALL,all fuels,233.48546,million MMBtu
89,2022-05,US,U.S. Total,96,All Commercial,ALL,all fuels,16.89331,million MMBtu
90,2022-05,US,U.S. Total,98,Electric Power,ALL,all fuels,3056.90811,million MMBtu
91,2022-05,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.43456,million MMBtu
92,2022-05,US,U.S. Total,97,All Industrial,ALL,all fuels,239.09136,million MMBtu
93,2022-05,US,U.S. Total,1,Electric Utility,ALL,all fuels,1664.22951,million MMBtu
94,2022-05,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.6059,million MMBtu
95,2022-05,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.13019,million MMBtu
96,2022-05,US,U.S. Total,3,IPP CHP,ALL,all fuels,103.66642,million MMBtu
97,2022-05,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1289.01218,million MMBtu
98,2022-04,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2600.41762,million MMBtu
99,2022-04,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.23373,million MMBtu
100,2022-04,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1194.0805,million MMBtu
101,2022-04,US,U.S. Total,3,IPP CHP,ALL,all fuels,96.52936,million MMBtu
102,2022-04,US,U.S. Total,1,Electric Utility,ALL,all fuels,1406.33712,million MMBtu
103,2022-04,US,U.S. Total,97,All Industrial,ALL,all fuels,230.66997,million MMBtu
104,2022-04,US,U.S. Total,7,Industrial CHP,ALL,all fuels,225.35396,million MMBtu
105,2022-04,US,U.S. Total,98,Electric Power,ALL,all fuels,2696.94698,million MMBtu
106,2022-04,US,U.S. Total,99,All Sectors,ALL,all fuels,2944.45489,million MMBtu
107,2022-04,US,U.S. Total,96,All Commercial,ALL,all fuels,16.83794,million MMBtu
108,2022-04,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.37122,million MMBtu
109,2022-04,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1290.60986,million MMBtu
110,2022-04,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.6042,million MMBtu
111,2022-04,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.31602,million MMBtu
112,2022-03,US,U.S. Total,98,Electric Power,ALL,all fuels,2895.88249,million MMBtu
113,2022-03,US,U.S. Total,7,Industrial CHP,ALL,all fuels,239.04565,million MMBtu
114,2022-03,US,U.S. Total,3,IPP CHP,ALL,all fuels,105.76731,million MMBtu
115,2022-03,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1242.07581,million MMBtu
116,2022-03,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.04722,million MMBtu
117,2022-03,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2790.11518,million MMBtu
118,2022-03,US,U.S. Total,99,All Sectors,ALL,all fuels,3158.90091,million MMBtu
119,2022-03,US,U.S. Total,97,All Industrial,ALL,all fuels,244.7267,million MMBtu
120,2022-03,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.68104,million MMBtu
121,2022-03,US,U.S. Total,1,Electric Utility,ALL,all fuels,1548.03938,million MMBtu
122,2022-03,US,U.S. Total,96,All Commercial,ALL,all fuels,18.29172,million MMBtu
123,2022-03,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.87499,million MMBtu
124,2022-03,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1347.84312,million MMBtu
125,2022-03,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.2445,million MMBtu
126,2022-02,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1210.30343,million MMBtu
127,2022-02,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1318.32543,million MMBtu
128,2022-02,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.64657,million MMBtu
129,2022-02,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.18859,million MMBtu
130,2022-02,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.04702,million MMBtu
131,2022-02,US,U.S. Total,99,All Sectors,ALL,all fuels,3185.15133,million MMBtu
132,2022-02,US,U.S. Total,98,Electric Power,ALL,all fuels,2936.04742,million MMBtu
133,2022-02,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2828.02541,million MMBtu
134,2022-02,US,U.S. Total,97,All Industrial,ALL,all fuels,231.41032,million MMBtu
135,2022-02,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.09956,million MMBtu
136,2022-02,US,U.S. Total,1,Electric Utility,ALL,all fuels,1617.72198,million MMBtu
137,2022-02,US,U.S. Total,96,All Commercial,ALL,all fuels,17.69359,million MMBtu
138,2022-02,US,U.S. Total,3,IPP CHP,ALL,all fuels,108.022,million MMBtu
139,2022-02,US,U.S. Total,7,Industrial CHP,ALL,all fuels,226.22173,million MMBtu
140,2022-01,US,U.S. Total,1,Electric Utility,ALL,all fuels,1936.62336,million MMBtu
141,2022-01,US,U.S. Total,99,All Sectors,ALL,all fuels,3680.37187,million MMBtu
142,2022-01,US,U.S. Total,98,Electric Power,ALL,all fuels,3400.34672,million MMBtu
143,2022-01,US,U.S. Total,97,All Industrial,ALL,all fuels,259.72583,million MMBtu
144,2022-01,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.15837,million MMBtu
145,2022-01,US,U.S. Total,96,All Commercial,ALL,all fuels,20.29931,million MMBtu
146,2022-01,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.14095,million MMBtu
147,2022-01,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3276.45332,million MMBtu
148,2022-01,US,U.S. Total,3,IPP CHP,ALL,all fuels,123.8934,million MMBtu
149,2022-01,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1463.72337,million MMBtu
150,2022-01,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.70701,million MMBtu
151,2022-01,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1339.82996,million MMBtu
