,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
959,2017-03,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.73451,million MMBtu
960,2017-03,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1214.69552,million MMBtu
961,2017-03,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2834.09857,million MMBtu
962,2017-03,US,U.S. Total,3,IPP CHP,ALL,all fuels,116.51512,million MMBtu
963,2017-03,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1098.1804,million MMBtu
964,2017-03,US,U.S. Total,7,Industrial CHP,ALL,all fuels,250.73352,million MMBtu
965,2017-03,US,U.S. Total,97,All Industrial,ALL,all fuels,256.46802,million MMBtu
966,2017-02,US,U.S. Total,99,All Sectors,ALL,all fuels,2950.91384,million MMBtu
967,2017-02,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,4.95121,million MMBtu
968,2017-02,US,U.S. Total,95,Coal Consumption,ALL,all fuels,5.56635,million MMBtu
969,2017-02,US,U.S. Total,5,Commercial CHP,ALL,all fuels,17.02167,million MMBtu
970,2017-02,US,U.S. Total,1,Electric Utility,ALL,all fuels,1595.73503,million MMBtu
971,2017-02,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1095.29128,million MMBtu
972,2017-02,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.14168,million MMBtu
973,2017-02,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2587.79339,million MMBtu
974,2017-02,US,U.S. Total,3,IPP CHP,ALL,all fuels,103.23292,million MMBtu
975,2017-02,US,U.S. Total,7,Industrial CHP,ALL,all fuels,233.77296,million MMBtu
976,2017-02,US,U.S. Total,97,All Industrial,ALL,all fuels,238.72418,million MMBtu
977,2017-02,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,992.05836,million MMBtu
978,2017-02,US,U.S. Total,96,All Commercial,ALL,all fuels,21.16335,million MMBtu
979,2017-02,US,U.S. Total,98,Electric Power,ALL,all fuels,2691.02631,million MMBtu
980,2017-01,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1268.33788,million MMBtu
981,2017-01,US,U.S. Total,96,All Commercial,ALL,all fuels,24.37411,million MMBtu
982,2017-01,US,U.S. Total,1,Electric Utility,ALL,all fuels,1934.26728,million MMBtu
983,2017-01,US,U.S. Total,7,Industrial CHP,ALL,all fuels,260.2262,million MMBtu
984,2017-01,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1147.48417,million MMBtu
985,2017-01,US,U.S. Total,5,Commercial CHP,ALL,all fuels,20.003,million MMBtu
986,2017-01,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.37111,million MMBtu
987,2017-01,US,U.S. Total,3,IPP CHP,ALL,all fuels,120.85371,million MMBtu
988,2017-01,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.05173,million MMBtu
989,2017-01,US,U.S. Total,97,All Industrial,ALL,all fuels,265.27793,million MMBtu
990,2017-01,US,U.S. Total,99,All Sectors,ALL,all fuels,3492.2572,million MMBtu
991,2017-01,US,U.S. Total,98,Electric Power,ALL,all fuels,3202.60516,million MMBtu
992,2017-01,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.42445,million MMBtu
993,2017-01,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3081.75145,million MMBtu
994,2016-12,US,U.S. Total,1,Electric Utility,ALL,all fuels,1914.70834,million MMBtu
995,2016-12,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.29409,million MMBtu
996,2016-12,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.57618,million MMBtu
997,2016-12,US,U.S. Total,7,Industrial CHP,ALL,all fuels,277.75387,million MMBtu
998,2016-12,US,U.S. Total,98,Electric Power,ALL,all fuels,3217.79016,million MMBtu
999,2016-12,US,U.S. Total,96,All Commercial,ALL,all fuels,20.07913,million MMBtu
1000,2016-12,US,U.S. Total,3,IPP CHP,ALL,all fuels,123.95543,million MMBtu
1001,2016-12,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.05779,million MMBtu
1002,2016-12,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.78504,million MMBtu
1003,2016-12,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1303.08183,million MMBtu
1004,2016-12,US,U.S. Total,97,All Industrial,ALL,all fuels,282.81166,million MMBtu
1005,2016-12,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1179.12639,million MMBtu
1006,2016-12,US,U.S. Total,99,All Sectors,ALL,all fuels,3520.68096,million MMBtu
1007,2016-12,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3093.83473,million MMBtu
1008,2016-11,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1032.43549,million MMBtu
1009,2016-11,US,U.S. Total,96,All Commercial,ALL,all fuels,17.8994,million MMBtu
1010,2016-11,US,U.S. Total,98,Electric Power,ALL,all fuels,2742.96844,million MMBtu
1011,2016-11,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.11684,million MMBtu
1012,2016-11,US,U.S. Total,1,Electric Utility,ALL,all fuels,1590.48527,million MMBtu
1013,2016-11,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1152.48317,million MMBtu
1014,2016-11,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,4.97964,million MMBtu
1015,2016-11,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2622.92076,million MMBtu
1016,2016-11,US,U.S. Total,3,IPP CHP,ALL,all fuels,120.04767,million MMBtu
1017,2016-11,US,U.S. Total,99,All Sectors,ALL,all fuels,3011.94689,million MMBtu
1018,2016-11,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.1233,million MMBtu
1019,2016-11,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.7761,million MMBtu
1020,2016-11,US,U.S. Total,97,All Industrial,ALL,all fuels,251.07905,million MMBtu
1021,2016-11,US,U.S. Total,7,Industrial CHP,ALL,all fuels,246.09942,million MMBtu
1022,2016-10,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2779.76275,million MMBtu
1023,2016-10,US,U.S. Total,98,Electric Power,ALL,all fuels,2894.55794,million MMBtu
1024,2016-10,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.25419,million MMBtu
1025,2016-10,US,U.S. Total,3,IPP CHP,ALL,all fuels,114.79519,million MMBtu
1026,2016-10,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1238.84534,million MMBtu
1027,2016-10,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.35202,million MMBtu
1028,2016-10,US,U.S. Total,96,All Commercial,ALL,all fuels,18.60621,million MMBtu
1029,2016-10,US,U.S. Total,1,Electric Utility,ALL,all fuels,1655.7126,million MMBtu
1030,2016-10,US,U.S. Total,99,All Sectors,ALL,all fuels,3162.18456,million MMBtu
1031,2016-10,US,U.S. Total,97,All Industrial,ALL,all fuels,249.02042,million MMBtu
1032,2016-10,US,U.S. Total,7,Industrial CHP,ALL,all fuels,243.7547,million MMBtu
1033,2016-10,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.26572,million MMBtu
1034,2016-10,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1124.05015,million MMBtu
1035,2016-10,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.98371,million MMBtu
1036,2016-09,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.64004,million MMBtu
1037,2016-09,US,U.S. Total,96,All Commercial,ALL,all fuels,20.13376,million MMBtu
1038,2016-09,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.41786,million MMBtu
1039,2016-09,US,U.S. Total,97,All Industrial,ALL,all fuels,248.15288,million MMBtu
1040,2016-09,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1360.12833,million MMBtu
1041,2016-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3516.29045,million MMBtu
1042,2016-09,US,U.S. Total,98,Electric Power,ALL,all fuels,3248.00382,million MMBtu
1043,2016-09,US,U.S. Total,7,Industrial CHP,ALL,all fuels,242.27821,million MMBtu
1044,2016-09,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3112.68938,million MMBtu
1045,2016-09,US,U.S. Total,3,IPP CHP,ALL,all fuels,135.31444,million MMBtu
1046,2016-09,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.87466,million MMBtu
1047,2016-09,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1224.81389,million MMBtu
1048,2016-09,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.49372,million MMBtu
1049,2016-09,US,U.S. Total,1,Electric Utility,ALL,all fuels,1887.87549,million MMBtu
1050,2016-08,US,U.S. Total,99,All Sectors,ALL,all fuels,4094.9622,million MMBtu
1051,2016-08,US,U.S. Total,7,Industrial CHP,ALL,all fuels,261.72213,million MMBtu
1052,2016-08,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.56161,million MMBtu
1053,2016-08,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.15881,million MMBtu
1054,2016-08,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3647.25002,million MMBtu
1055,2016-08,US,U.S. Total,5,Commercial CHP,ALL,all fuels,18.34757,million MMBtu
1056,2016-08,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.16262,million MMBtu
1057,2016-08,US,U.S. Total,97,All Industrial,ALL,all fuels,268.28374,million MMBtu
1058,2016-08,US,U.S. Total,98,Electric Power,ALL,all fuels,3803.17207,million MMBtu
1059,2016-08,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1551.8041,million MMBtu
1060,2016-08,US,U.S. Total,96,All Commercial,ALL,all fuels,23.50639,million MMBtu
1061,2016-08,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1395.88204,million MMBtu
1062,2016-08,US,U.S. Total,1,Electric Utility,ALL,all fuels,2251.36798,million MMBtu
1063,2016-08,US,U.S. Total,3,IPP CHP,ALL,all fuels,155.92206,million MMBtu
1064,2016-07,US,U.S. Total,5,Commercial CHP,ALL,all fuels,17.94131,million MMBtu
1065,2016-07,US,U.S. Total,98,Electric Power,ALL,all fuels,3833.3895,million MMBtu
1066,2016-07,US,U.S. Total,99,All Sectors,ALL,all fuels,4123.02438,million MMBtu
1067,2016-07,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3681.35879,million MMBtu
1068,2016-07,US,U.S. Total,96,All Commercial,ALL,all fuels,23.0253,million MMBtu
1069,2016-07,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.76252,million MMBtu
1070,2016-07,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1552.98325,million MMBtu
1071,2016-07,US,U.S. Total,1,Electric Utility,ALL,all fuels,2280.40625,million MMBtu
1072,2016-07,US,U.S. Total,97,All Industrial,ALL,all fuels,266.60958,million MMBtu
1073,2016-07,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.08399,million MMBtu
1074,2016-07,US,U.S. Total,7,Industrial CHP,ALL,all fuels,260.14342,million MMBtu
1075,2016-07,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1400.95254,million MMBtu
1076,2016-07,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.46616,million MMBtu
1077,2016-07,US,U.S. Total,3,IPP CHP,ALL,all fuels,152.03071,million MMBtu
1078,2016-06,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3265.51752,million MMBtu
1079,2016-06,US,U.S. Total,98,Electric Power,ALL,all fuels,3402.93858,million MMBtu
1080,2016-06,US,U.S. Total,99,All Sectors,ALL,all fuels,3679.57335,million MMBtu
1081,2016-06,US,U.S. Total,97,All Industrial,ALL,all fuels,256.52954,million MMBtu
1082,2016-06,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.58893,million MMBtu
1083,2016-06,US,U.S. Total,3,IPP CHP,ALL,all fuels,137.42106,million MMBtu
1084,2016-06,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.5163,million MMBtu
1085,2016-06,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1204.13044,million MMBtu
1086,2016-06,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.23036,million MMBtu
1087,2016-06,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.76728,million MMBtu
1088,2016-06,US,U.S. Total,1,Electric Utility,ALL,all fuels,2061.38708,million MMBtu
1089,2016-06,US,U.S. Total,96,All Commercial,ALL,all fuels,20.10523,million MMBtu
1090,2016-06,US,U.S. Total,7,Industrial CHP,ALL,all fuels,250.29918,million MMBtu
1091,2016-06,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1341.55149,million MMBtu
1092,2016-05,US,U.S. Total,1,Electric Utility,ALL,all fuels,1731.91599,million MMBtu
1093,2016-05,US,U.S. Total,99,All Sectors,ALL,all fuels,3188.24379,million MMBtu
1094,2016-05,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1185.36203,million MMBtu
1095,2016-05,US,U.S. Total,96,All Commercial,ALL,all fuels,18.30698,million MMBtu
1096,2016-05,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.13303,million MMBtu
1097,2016-05,US,U.S. Total,98,Electric Power,ALL,all fuels,2917.27802,million MMBtu
1098,2016-05,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1059.59132,million MMBtu
1099,2016-05,US,U.S. Total,97,All Industrial,ALL,all fuels,252.6588,million MMBtu
1100,2016-05,US,U.S. Total,3,IPP CHP,ALL,all fuels,125.7707,million MMBtu
1101,2016-05,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.25639,million MMBtu
1102,2016-05,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.05059,million MMBtu
1103,2016-05,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2791.50731,million MMBtu
1104,2016-05,US,U.S. Total,95,Coal Consumption,ALL,all fuels,5.67488,million MMBtu
1105,2016-05,US,U.S. Total,7,Industrial CHP,ALL,all fuels,246.52576,million MMBtu
1106,2016-04,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.56623,million MMBtu
1107,2016-04,US,U.S. Total,98,Electric Power,ALL,all fuels,2698.30669,million MMBtu
1108,2016-04,US,U.S. Total,97,All Industrial,ALL,all fuels,243.07059,million MMBtu
1109,2016-04,US,U.S. Total,99,All Sectors,ALL,all fuels,2959.62481,million MMBtu
1110,2016-04,US,U.S. Total,96,All Commercial,ALL,all fuels,18.24753,million MMBtu
1111,2016-04,US,U.S. Total,95,Coal Consumption,ALL,all fuels,5.22647,million MMBtu
1112,2016-04,US,U.S. Total,1,Electric Utility,ALL,all fuels,1573.3802,million MMBtu
1113,2016-04,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1005.21353,million MMBtu
1114,2016-04,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.91515,million MMBtu
1115,2016-04,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.33238,million MMBtu
1116,2016-04,US,U.S. Total,7,Industrial CHP,ALL,all fuels,237.50436,million MMBtu
1117,2016-04,US,U.S. Total,3,IPP CHP,ALL,all fuels,119.71296,million MMBtu
1118,2016-04,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2578.59374,million MMBtu
1119,2016-04,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1124.92649,million MMBtu
1120,2016-03,US,U.S. Total,1,Electric Utility,ALL,all fuels,1646.29709,million MMBtu
1121,2016-03,US,U.S. Total,7,Industrial CHP,ALL,all fuels,252.20392,million MMBtu
1122,2016-03,US,U.S. Total,96,All Commercial,ALL,all fuels,19.3473,million MMBtu
1123,2016-03,US,U.S. Total,95,Coal Consumption,ALL,all fuels,5.47906,million MMBtu
1124,2016-03,US,U.S. Total,99,All Sectors,ALL,all fuels,3071.21821,million MMBtu
1125,2016-03,US,U.S. Total,97,All Industrial,ALL,all fuels,257.51771,million MMBtu
1126,2016-03,US,U.S. Total,98,Electric Power,ALL,all fuels,2794.3532,million MMBtu
1127,2016-03,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.96534,million MMBtu
1128,2016-03,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2660.57409,million MMBtu
1129,2016-03,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1014.277,million MMBtu
1130,2016-03,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.38196,million MMBtu
1131,2016-03,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1148.05611,million MMBtu
1132,2016-03,US,U.S. Total,3,IPP CHP,ALL,all fuels,133.77911,million MMBtu
1133,2016-03,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.31379,million MMBtu
1134,2016-02,US,U.S. Total,3,IPP CHP,ALL,all fuels,127.64686,million MMBtu
1135,2016-02,US,U.S. Total,96,All Commercial,ALL,all fuels,18.64176,million MMBtu
1136,2016-02,US,U.S. Total,98,Electric Power,ALL,all fuels,2894.60136,million MMBtu
1137,2016-02,US,U.S. Total,97,All Industrial,ALL,all fuels,250.46415,million MMBtu
1138,2016-02,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1172.68144,million MMBtu
1139,2016-02,US,U.S. Total,95,Coal Consumption,ALL,all fuels,5.83437,million MMBtu
1140,2016-02,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2766.95449,million MMBtu
1141,2016-02,US,U.S. Total,7,Industrial CHP,ALL,all fuels,245.24987,million MMBtu
1142,2016-02,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.21428,million MMBtu
1143,2016-02,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.92199,million MMBtu
1144,2016-02,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,3.71978,million MMBtu
1145,2016-02,US,U.S. Total,1,Electric Utility,ALL,all fuels,1721.91992,million MMBtu
1146,2016-02,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1045.03458,million MMBtu
1147,2016-02,US,U.S. Total,99,All Sectors,ALL,all fuels,3163.70726,million MMBtu
1148,2016-01,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3123.51258,million MMBtu
1149,2016-01,US,U.S. Total,1,Electric Utility,ALL,all fuels,1959.02171,million MMBtu
1150,2016-01,US,U.S. Total,5,Commercial CHP,ALL,all fuels,16.27822,million MMBtu
1151,2016-01,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.54004,million MMBtu
1152,2016-01,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.06967,million MMBtu
1153,2016-01,US,U.S. Total,3,IPP CHP,ALL,all fuels,139.85351,million MMBtu
1154,2016-01,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1164.49087,million MMBtu
1155,2016-01,US,U.S. Total,99,All Sectors,ALL,all fuels,3553.04063,million MMBtu
1156,2016-01,US,U.S. Total,96,All Commercial,ALL,all fuels,20.34789,million MMBtu
1157,2016-01,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.85863,million MMBtu
1158,2016-01,US,U.S. Total,97,All Industrial,ALL,all fuels,269.32665,million MMBtu
1159,2016-01,US,U.S. Total,98,Electric Power,ALL,all fuels,3263.36609,million MMBtu
1160,2016-01,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1304.34437,million MMBtu
1161,2016-01,US,U.S. Total,7,Industrial CHP,ALL,all fuels,263.78661,million MMBtu
1162,2015-12,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1216.77003,million MMBtu
1163,2015-12,US,U.S. Total,96,All Commercial,ALL,all fuels,18.8019,million MMBtu
1164,2015-12,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.95313,million MMBtu
1165,2015-12,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.45482,million MMBtu
1166,2015-12,US,U.S. Total,7,Industrial CHP,ALL,all fuels,269.56038,million MMBtu
1167,2015-12,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.34708,million MMBtu
1168,2015-12,US,U.S. Total,1,Electric Utility,ALL,all fuels,1761.04454,million MMBtu
1169,2015-12,US,U.S. Total,3,IPP CHP,ALL,all fuels,134.89592,million MMBtu
1170,2015-12,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2842.91865,million MMBtu
1171,2015-12,US,U.S. Total,97,All Industrial,ALL,all fuels,275.53124,million MMBtu
1172,2015-12,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.97086,million MMBtu
1173,2015-12,US,U.S. Total,99,All Sectors,ALL,all fuels,3272.14771,million MMBtu
1174,2015-12,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1081.8741,million MMBtu
1175,2015-12,US,U.S. Total,98,Electric Power,ALL,all fuels,2977.81457,million MMBtu
1176,2015-11,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1175.8918,million MMBtu
1177,2015-11,US,U.S. Total,96,All Commercial,ALL,all fuels,17.96313,million MMBtu
1178,2015-11,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1044.33859,million MMBtu
1179,2015-11,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.44509,million MMBtu
1180,2015-11,US,U.S. Total,1,Electric Utility,ALL,all fuels,1599.55241,million MMBtu
1181,2015-11,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.45767,million MMBtu
1182,2015-11,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2643.89099,million MMBtu
1183,2015-11,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.50546,million MMBtu
1184,2015-11,US,U.S. Total,7,Industrial CHP,ALL,all fuels,255.75839,million MMBtu
1185,2015-11,US,U.S. Total,3,IPP CHP,ALL,all fuels,131.55322,million MMBtu
1186,2015-11,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.34226,million MMBtu
1187,2015-11,US,U.S. Total,99,All Sectors,ALL,all fuels,3055.508,million MMBtu
1188,2015-11,US,U.S. Total,97,All Industrial,ALL,all fuels,262.10065,million MMBtu
1189,2015-11,US,U.S. Total,98,Electric Power,ALL,all fuels,2775.44421,million MMBtu
1190,2015-10,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2739.64525,million MMBtu
1191,2015-10,US,U.S. Total,1,Electric Utility,ALL,all fuels,1668.32252,million MMBtu
1192,2015-10,US,U.S. Total,98,Electric Power,ALL,all fuels,2872.71568,million MMBtu
1193,2015-10,US,U.S. Total,99,All Sectors,ALL,all fuels,3148.65308,million MMBtu
1194,2015-10,US,U.S. Total,97,All Industrial,ALL,all fuels,258.00668,million MMBtu
1195,2015-10,US,U.S. Total,96,All Commercial,ALL,all fuels,17.93073,million MMBtu
1196,2015-10,US,U.S. Total,95,Coal Consumption,ALL,all fuels,9.05606,million MMBtu
1197,2015-10,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1071.32273,million MMBtu
1198,2015-10,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.04781,million MMBtu
1199,2015-10,US,U.S. Total,7,Industrial CHP,ALL,all fuels,252.34657,million MMBtu
1200,2015-10,US,U.S. Total,3,IPP CHP,ALL,all fuels,133.07043,million MMBtu
1201,2015-10,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1204.39316,million MMBtu
1202,2015-10,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.66011,million MMBtu
1203,2015-10,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.88291,million MMBtu
1204,2015-09,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.51742,million MMBtu
1205,2015-09,US,U.S. Total,1,Electric Utility,ALL,all fuels,1905.70015,million MMBtu
1206,2015-09,US,U.S. Total,97,All Industrial,ALL,all fuels,263.01855,million MMBtu
1207,2015-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3528.35204,million MMBtu
1208,2015-09,US,U.S. Total,96,All Commercial,ALL,all fuels,19.50479,million MMBtu
1209,2015-09,US,U.S. Total,95,Coal Consumption,ALL,all fuels,8.39039,million MMBtu
1210,2015-09,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1340.12855,million MMBtu
1211,2015-09,US,U.S. Total,98,Electric Power,ALL,all fuels,3245.8287,million MMBtu
1212,2015-09,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3106.35212,million MMBtu
1213,2015-09,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1200.65197,million MMBtu
1214,2015-09,US,U.S. Total,7,Industrial CHP,ALL,all fuels,256.71346,million MMBtu
1215,2015-09,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.30509,million MMBtu
1216,2015-09,US,U.S. Total,3,IPP CHP,ALL,all fuels,139.47657,million MMBtu
1217,2015-09,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.98737,million MMBtu
1218,2015-08,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1471.85686,million MMBtu
1219,2015-08,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,7.16395,million MMBtu
1220,2015-08,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.55206,million MMBtu
1221,2015-08,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.74516,million MMBtu
1222,2015-08,US,U.S. Total,3,IPP CHP,ALL,all fuels,149.62793,million MMBtu
1223,2015-08,US,U.S. Total,7,Industrial CHP,ALL,all fuels,270.49998,million MMBtu
1224,2015-08,US,U.S. Total,97,All Industrial,ALL,all fuels,277.66393,million MMBtu
1225,2015-08,US,U.S. Total,96,All Commercial,ALL,all fuels,20.29721,million MMBtu
1226,2015-08,US,U.S. Total,95,Coal Consumption,ALL,all fuels,8.78689,million MMBtu
1227,2015-08,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1322.22893,million MMBtu
1228,2015-08,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3502.52889,million MMBtu
1229,2015-08,US,U.S. Total,1,Electric Utility,ALL,all fuels,2180.29996,million MMBtu
1230,2015-08,US,U.S. Total,99,All Sectors,ALL,all fuels,3950.11796,million MMBtu
1231,2015-08,US,U.S. Total,98,Electric Power,ALL,all fuels,3652.15682,million MMBtu
1232,2015-07,US,U.S. Total,99,All Sectors,ALL,all fuels,4037.1188,million MMBtu
1233,2015-07,US,U.S. Total,96,All Commercial,ALL,all fuels,21.06989,million MMBtu
1234,2015-07,US,U.S. Total,95,Coal Consumption,ALL,all fuels,8.59389,million MMBtu
1235,2015-07,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1504.51587,million MMBtu
1236,2015-07,US,U.S. Total,97,All Industrial,ALL,all fuels,279.48107,million MMBtu
1237,2015-07,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1357.7014,million MMBtu
1238,2015-07,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.00724,million MMBtu
1239,2015-07,US,U.S. Total,5,Commercial CHP,ALL,all fuels,16.06265,million MMBtu
1240,2015-07,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3589.75337,million MMBtu
1241,2015-07,US,U.S. Total,7,Industrial CHP,ALL,all fuels,271.60953,million MMBtu
1242,2015-07,US,U.S. Total,1,Electric Utility,ALL,all fuels,2232.05197,million MMBtu
1243,2015-07,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,7.87154,million MMBtu
1244,2015-07,US,U.S. Total,3,IPP CHP,ALL,all fuels,146.81447,million MMBtu
