ds,y
2021-04,1198.52806
2021-04,16.32049
2021-04,1412.64263
2021-04,231.96594
2021-04,5.70392
2021-04,11.14066
2021-04,5.17983
2021-04,2611.17069
2021-04,237.66986
2021-04,2865.16104
2021-04,1095.46867
2021-04,103.05939
2021-03,6.62189
2021-03,3043.13956
2021-03,1146.80059
2021-03,1531.91002
2021-03,5.91605
2021-03,4.95091
2021-03,101.36065
2021-03,2780.07125
2021-03,13.04626
2021-03,1248.16123
2021-03,2678.7106
2021-03,239.15509
2021-03,245.07114
2021-03,17.99717
2021-02,1117.27487
2021-02,226.22436
2021-02,3189.49344
2021-02,2945.33117
2021-02,2840.89566
2021-02,4.64019
2021-02,13.53117
2021-02,221.58417
2021-02,17.93791
2021-02,1221.71038
2021-02,6.06408
2021-02,1723.62079
2021-02,4.40675
2021-02,104.43551
2021-01,6.92736
2021-01,2995.78323
2021-01,5.78657
2021-01,1321.29403
2021-01,260.9309
2021-01,14.69557
2021-01,5.15202
2021-01,1793.62017
2021-01,119.13098
2021-01,1202.16305
2021-01,3401.47925
2021-01,3114.9142
2021-01,266.71746
2021-01,19.84759
2020-12,1207.95563
2020-12,4.98779
2020-12,14.50972
2020-12,10.73406
2020-12,19.49751
2020-12,3070.46308
2020-12,3357.2016
2020-12,267.24102
2020-12,256.50696
2020-12,1329.6963
2020-12,2948.72241
2020-12,6.92256
2020-12,1740.76678
2020-12,121.74067
2020-11,2689.11202
2020-11,108.57095
2020-11,1104.65818
2020-11,234.03252
2020-11,2950.51834
2020-11,1475.88289
2020-11,243.62993
2020-11,17.77638
2020-11,6.42311
2020-11,2580.54107
2020-11,4.78893
2020-11,9.59741
2020-11,12.98745
2020-11,1213.22913
2020-10,1543.50755
2020-10,1239.78713
2020-10,9.41358
2020-10,3049.36454
2020-10,18.27756
2020-10,2783.29468
2020-10,238.37872
2020-10,2668.90505
2020-10,247.79229
2020-10,7.1682
2020-10,114.38963
2020-10,13.39713
2020-10,4.88043
2020-10,1125.3975
2020-09,1705.08935
2020-09,3222.97635
2020-09,2971.39992
2020-09,18.5187
2020-09,233.05772
2020-09,1266.31057
2020-09,2849.80841
2020-09,6.66243
2020-09,13.66929
2020-09,224.22296
2020-09,1144.71905
2020-09,121.59152
2020-09,8.83476
2020-09,4.84941
2020-08,3437.18679
2020-08,249.51975
2020-08,3841.10978
2020-08,3570.88522
2020-08,239.94519
2020-08,133.69843
2020-08,9.57456
2020-08,1345.09621
2020-08,2092.09058
2020-08,15.49476
2020-08,7.70559
2020-08,1478.79464
2020-08,20.70481
2020-08,5.21006
2020-07,2142.31277
2020-07,1397.22046
2020-07,240.40914
2020-07,135.10628
2020-07,7.28941
2020-07,1532.32675
2020-07,249.84478
2020-07,3539.53323
2020-07,21.37469
2020-07,3674.63951
2020-07,3945.85897
2020-07,5.36541
2020-07,16.00928
2020-07,9.43564
2020-06,3400.26582
2020-06,228.17537
2020-06,8.97375
2020-06,3029.04362
2020-06,1228.81119
2020-06,3144.57562
2020-06,237.14912
2020-06,1344.34319
2020-06,18.54108
2020-06,115.532
2020-06,6.55135
2020-06,13.42121
2020-06,1800.23243
2020-06,5.11987
2020-05,238.65412
